 969 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000E00FD mcycle=1939798290
 970 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0323E8A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000E00FD mcycle=1939801738
 971 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000E00FD mcycle=1939812586
 972 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000E00FD mcycle=1939834714
 973 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032C3220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x000E00FD mcycle=1939884754
 974 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x000F00FD mcycle=1940221760
 975 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x000F00FD mcycle=1940222761
 976 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032468A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000F00FD mcycle=1940226209
 977 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000F00FD mcycle=1940236916
 978 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032368A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x000F00FD mcycle=1940259147
 979 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032BB220 dir_q=0x02 GET   type= 2, size0=0, SLot_SFN = 0x000F00FD mcycle=1940282610
 980 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032C3220 dir_q=0x02 FREE  type= 1, size0=0, SLot_SFN = 0x001000FD mcycle=1940646891
 981 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C02020 dir_q=0x01 FREE  type= 0, size0=0, SLot_SFN = 0x001000FD mcycle=1940647898
 982 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x001000FD mcycle=1940651355
 983 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0323E8A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x001000FD mcycle=1940681173
 984 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032CB220 dir_q=0x02 GET   type= 2, size0=0, SLot_SFN = 0x001000FD mcycle=1940704280
 985 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032BB220 dir_q=0x02 FREE  type= 2, size0=0, SLot_SFN = 0x001100FD mcycle=1941071999
 986 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032368A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x001100FD mcycle=1941075947
 987 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x1201E180 dir_q=0x11 ALLOC type= 0, size0=0, SLot_SFN = 0x001100FD mcycle=1941097269
 988 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032468A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x001100FD mcycle=1941106838
 989 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 GET   type= 2, size0=0, SLot_SFN = 0x001100FD mcycle=1941130100
 990 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032CB220 dir_q=0x02 FREE  type= 2, size0=0, SLot_SFN = 0x001200FD mcycle=1941497151
 991 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0323E8A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x001200FD mcycle=1941501247
 992 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12000720 dir_q=0x11 ALLOC type= 0, size0=0, SLot_SFN = 0x001200FD mcycle=1941522415
 993 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x001200FD mcycle=1941532009
 994 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032C3220 dir_q=0x02 GET   type= 2, size0=0, SLot_SFN = 0x001200FD mcycle=1941555162
 995 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032D3220 dir_q=0x02 FREE  type= 2, size0=0, SLot_SFN = 0x001300FD mcycle=1941921208
 996 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032468A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x001300FD mcycle=1941925223
 997 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032368A0 dir_q=0x12 PUT   type= 2, size0=0, SLot_SFN = 0x001300FD mcycle=1941954898
 998 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032BB220 dir_q=0x02 GET   type= 1, size0=0, SLot_SFN = 0x001300FD mcycle=1942003491
 999 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x032C3220 dir_q=0x02 FREE  type= 2, size0=0, SLot_SFN = 0x000000FE mcycle=1942346363
1000 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x0322E8A0 dir_q=0x12 ALLOC type= 2, size0=0, SLot_SFN = 0x000000FE mcycle=1942350594
1001 Aug  8 09:07:48 localhost nrTestMAC[973]: PC802_0 PFI 1 PRINTF: msg=0x12C29420 dir_q=0x01 GET   type= 0, size0=0, SLot_SFN = 0x000000FE mcycle=1942361072
