1141 ,PC802_0 PFI 0 PRINTF: msg=,0x0323E8A0, dir_q,0x12,GET  , type= ,1, size0=0, SLot_SFN  ,0x000000FE, mcycle,324372867
1142 ,PC802_0 PFI 0 PRINTF: msg=,0x0323E8A0, dir_q,0x12,FREE , type= ,1, size0=0, SLot_SFN  ,0x000000FE, mcycle,324380489
1143 ,PC802_0 PFI 0 PRINTF: msg=,0x1201E180, dir_q,0x11,GET  , type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,324381301
1144 ,PC802_0 PFI 0 PRINTF: msg=,0x1201E180, dir_q,0x11,FREE , type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,324394013
1145 ,PC802_0 PFI 0 PRINTF: msg=,0x12C02020, dir_q,0x01,ALLOC, type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,324407440
1146 ,PC802_0 PFI 0 PRINTF: msg=,0x032CB220, dir_q,0x02,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x000000FE, mcycle,324415753
1147 ,PC802_0 PFI 0 PRINTF: msg=,0x12C02020, dir_q,0x01,PUT  , type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,324431804
1148 ,PC802_0 PFI 0 PRINTF: msg=,0x032CB220, dir_q,0x02,PUT  , type= ,1, size0=0, SLot_SFN  ,0x000000FE, mcycle,324432829
1149 ,PC802_0 PFI 0 PRINTF: msg=,0x032D3220, dir_q,0x02,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x000000FE, mcycle,324443304
1150 ,PC802_0 PFI 0 PRINTF: msg=,0x032D3220, dir_q,0x02,PUT  , type= ,2, size0=0, SLot_SFN  ,0x000000FE, mcycle,324452868
1151 ,PC802_0 PFI 0 PRINTF: msg=,0x032468A0, dir_q,0x12,GET  , type= ,1, size0=0, SLot_SFN  ,0x000000FE, mcycle,324489945
1152 ,PC802_0 PFI 0 PRINTF: msg=,0x032468A0, dir_q,0x12,FREE , type= ,1, size0=0, SLot_SFN  ,0x000000FE, mcycle,324497598
1153 ,PC802_0 PFI 0 PRINTF: msg=,0x12000720, dir_q,0x11,GET  , type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,324498351
1154 ,PC802_0 PFI 0 PRINTF: msg=,0x0322E8A0, dir_q,0x12,GET  , type= ,2, size0=1, SLot_SFN  ,0x000000FE, mcycle,324504044
1155 ,PC802_0 PFI 0 PRINTF: msg=,0x0322E8A0, dir_q,0x12,FREE , type= ,2, size0=1, SLot_SFN  ,0x000000FE, mcycle,324504264
1156 ,PC802_0 PFI 0 PRINTF: msg=,0x12000720, dir_q,0x11,FREE , type= ,0, size0=0, SLot_SFN  ,0x000000FE, mcycle,324506715
1157 ,PC802_0 PFI 0 PRINTF: msg=,0x032C3220, dir_q,0x02,ALLOC, type= ,2, size0=0, SLot_SFN  ,0x000000FE, mcycle,2023926364
1158 ,PC802_0 PFI 0 PRINTF: msg=,0x032C3220, dir_q,0x02,PUT  , type= ,2, size0=0, SLot_SFN  ,0x000000FE, mcycle,2023935950
1159 ,PC802_0 PFI 0 PRINTF: msg=,0x032368A0, dir_q,0x12,GET  , type= ,2, size0=0, SLot_SFN  ,0x00000000, mcycle,2025039873
1160 ,PC802_0 PFI 0 PRINTF: msg=,0x032368A0, dir_q,0x12,FREE , type= ,2, size0=0, SLot_SFN  ,0x00000000, mcycle,2025047809
1161 ,PC802_0 PFI 0 PRINTF: msg=,0x032CB220, dir_q,0x02,ALLOC, type= ,1, size0=0, SLot_SFN  ,0x00000000, mcycle,2874135757
1162 ,PC802_0 PFI 0 PRINTF: msg=,0x032CB220, dir_q,0x02,PUT  , type= ,2, size0=0, SLot_SFN  ,0x00000000, mcycle,2874145366
1163 ,PC802_0 PFI 0 PRINTF: msg=,0x0323E8A0, dir_q,0x12,GET  , type= ,2, size0=0, SLot_SFN  ,0x00010000, mcycle,3551909622
