 410 ,PC802_0 PFI 1 PRINTF: msg=,0x032CB220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x620C0009, mcycle,2789344169
 411 ,PC802_0 PFI 1 PRINTF: msg=,0x0322E8A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0xA40C0009, mcycle,2789348110
 412 ,PC802_0 PFI 1 PRINTF: msg=,0x0323E8A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0xA20C0009, mcycle,2789375747
 413 ,PC802_0 PFI 1 PRINTF: msg=,0x032D3220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x640C0009, mcycle,2789407878
 414 ,PC802_0 PFI 1 PRINTF: msg=,0x032C3220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x630D0009, mcycle,2789844707
 415 ,PC802_0 PFI 1 PRINTF: msg=,0x032368A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0xA50D0009, mcycle,2789848682
 416 ,PC802_0 PFI 1 PRINTF: msg=,0x032468A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0xA30D0009, mcycle,2789876354
 417 ,PC802_0 PFI 1 PRINTF: msg=,0x032BB220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x650D0009, mcycle,2789913571
 418 ,PC802_0 PFI 1 PRINTF: msg=,0x032D3220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x640E0009, mcycle,2790344124
 419 ,PC802_0 PFI 1 PRINTF: msg=,0x0323E8A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0xA60E0009, mcycle,2790348028
 420 ,PC802_0 PFI 1 PRINTF: msg=,0x0322E8A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0xA40E0009, mcycle,2790375356
 421 ,PC802_0 PFI 1 PRINTF: msg=,0x032CB220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x660E0009, mcycle,2790407574
 422 ,PC802_0 PFI 1 PRINTF: msg=,0x032BB220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x650F0009, mcycle,2790844452
 423 ,PC802_0 PFI 1 PRINTF: msg=,0x032468A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0xA70F0009, mcycle,2790848393
 440 ,PC802_0 PFI 1 PRINTF: msg=,0x032368A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0xA50F0009, mcycle,2790875958
 441 ,PC802_0 PFI 1 PRINTF: msg=,0x032C3220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x670F0009, mcycle,2790909513
 442 ,PC802_0 PFI 1 PRINTF: msg=,0x032CB220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x66100009, mcycle,2791344380
 443 ,PC802_0 PFI 1 PRINTF: msg=,0x0322E8A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0xA8100009, mcycle,2791348330
 444 ,PC802_0 PFI 1 PRINTF: msg=,0x0323E8A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0xA6100009, mcycle,2791376034
 445 ,PC802_0 PFI 1 PRINTF: msg=,0x032D3220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x68100009, mcycle,2791406747
 446 ,PC802_0 PFI 1 PRINTF: msg=,0x032C3220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x67110009, mcycle,2791844682
 447 ,PC802_0 PFI 1 PRINTF: msg=,0x032368A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0xA9110009, mcycle,2791848624
 448 ,PC802_0 PFI 1 PRINTF: msg=,0x032468A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0xA7110009, mcycle,2791876365
 449 ,PC802_0 PFI 1 PRINTF: msg=,0x032BB220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x69110009, mcycle,2791913523
 450 ,PC802_0 PFI 1 PRINTF: msg=,0x032D3220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x68120009, mcycle,2792344965
 451 ,PC802_0 PFI 1 PRINTF: msg=,0x0323E8A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0xAA120009, mcycle,2792348891
 452 ,PC802_0 PFI 1 PRINTF: msg=,0x0322E8A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0xA8120009, mcycle,2792376301
 453 ,PC802_0 PFI 1 PRINTF: msg=,0x032CB220, dir_q,0x02,GET  , type= ,2, size0=0, SLot_SFN  ,0x6A120009, mcycle,2792407126
 454 ,PC802_0 PFI 1 PRINTF: msg=,0x032BB220, dir_q,0x02,FREE , type= ,2, size0=0, SLot_SFN  ,0x69130009, mcycle,2792843971
 455 ,PC802_0 PFI 1 PRINTF: msg=,0x032468A0, dir_q,0x12,ALLOC, type= ,2, size0=0, SLot_SFN  ,0xAB130009, mcycle,2792847893
 465 ,PC802_0 PFI 1 PRINTF: msg=,0x032368A0, dir_q,0x12,PUT  , type= ,2, size0=0, SLot_SFN  ,0xA9130009, mcycle,2792875893
 466 ,PC802_0 PFI 1 PRINTF: msg=,0x032C3220, dir_q,0x02,GET  , type= ,1, size0=0, SLot_SFN  ,0x6B130009, mcycle,2792914710
