PFI 0 PRINTF(   257 :  829268102): msg=0x12028F60,dir_q=,0x11,GET   ,type= ,0, size0=0, SLot_SFN = ,0x9A0A031B,mcycle=,822176829
PFI 0 PRINTF(   257 :  829268803): msg=0x12028F60,dir_q=,0x11,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x9A0A031B,mcycle=,822187209
PFI 0 PRINTF(   257 :  829269505): msg=0x1203CB80,dir_q=,0x11,GET   ,type= ,0, size0=0, SLot_SFN = ,0x9B0B031B,mcycle=,822676883
PFI 0 PRINTF(   257 :  829304806): msg=0x1203CB80,dir_q=,0x11,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x9B0B031B,mcycle=,822690166
PFI 0 PRINTF(   257 :  829305517): msg=0x12001720,dir_q=,0x11,GET   ,type= ,0, size0=0, SLot_SFN = ,0x9C00031C,mcycle=,827177688
PFI 0 PRINTF(   257 :  829306214): msg=0x12001720,dir_q=,0x11,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x9C00031C,mcycle=,827190840
PFI 0 PRINTF(   257 :  829306912): msg=0x12015340,dir_q=,0x11,GET   ,type= ,0, size0=0, SLot_SFN = ,0x9D01031C,mcycle=,827679741
PFI 0 PRINTF(   257 :  829307610): msg=0x12015340,dir_q=,0x11,FREE  ,type= ,0, size0=0, SLot_SFN = ,0x9D01031C,mcycle=,827689101
PFI 0 PRINTF(   257 :  829309667): msg=0x032CB220,dir_q=,0x02,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x2E10031B,mcycle=,825192907
PFI 0 PRINTF(   257 :  829310368): msg=0x032CB220,dir_q=,0x02,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x2E10031B,mcycle=,825205364
PFI 0 PRINTF(   257 :  829311070): msg=0x032BB220,dir_q=,0x02,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x2F11031B,mcycle=,825711481
PFI 0 PRINTF(   257 :  829311770): msg=0x032BB220,dir_q=,0x02,PUT   ,type= ,2, size0=0, SLot_SFN = ,0x2F11031B,mcycle=,825723510
PFI 0 PRINTF(   257 :  829312473): msg=0x032D3220,dir_q=,0x02,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x3012031B,mcycle=,826253233
PFI 0 PRINTF(   257 :  829313174): msg=0x032D3220,dir_q=,0x02,PUT   ,type= ,1, size0=0, SLot_SFN = ,0x3012031B,mcycle=,826270269
PFI 0 PRINTF(   257 :  829313876): msg=0x032C3220,dir_q=,0x02,ALLOC ,type= ,1, size0=0, SLot_SFN = ,0x3113031B,mcycle=,826752641
