PFI 1 PRINTF(   257 :  829261171): msg=0x12028F60,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9607031A,mcycle=,810657937
PFI 1 PRINTF(   257 :  829261875): msg=0x1203CB80,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9708031A,mcycle=,811157464
PFI 1 PRINTF(   257 :  829262607): msg=0x12028F60,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x960A031A,mcycle=,812176048
PFI 1 PRINTF(   257 :  829263307): msg=0x1203CB80,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x970B031A,mcycle=,812675803
PFI 1 PRINTF(   257 :  829264037): msg=0x12001720,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9811031A,mcycle=,815658542
PFI 1 PRINTF(   257 :  829264737): msg=0x12015340,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9912031A,mcycle=,816156892
PFI 1 PRINTF(   257 :  829265468): msg=0x12001720,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9800031B,mcycle=,817175759
PFI 1 PRINTF(   257 :  829266169): msg=0x12015340,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9901031B,mcycle=,817676208
PFI 1 PRINTF(   257 :  829266902): msg=0x12028F60,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9A07031B,mcycle=,820658794
PFI 1 PRINTF(   257 :  829267602): msg=0x1203CB80,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9B08031B,mcycle=,821157458
PFI 1 PRINTF(   257 :  829268336): msg=0x12028F60,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9A0A031B,mcycle=,822175341
PFI 1 PRINTF(   257 :  829269036): msg=0x1203CB80,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9B0B031B,mcycle=,822675755
PFI 1 PRINTF(   257 :  829304141): msg=0x12001720,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9C11031B,mcycle=,825659032
PFI 1 PRINTF(   257 :  829304845): msg=0x12015340,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9D12031B,mcycle=,826156850
PFI 1 PRINTF(   257 :  829305574): msg=0x12001720,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9C00031C,mcycle=,827177062
PFI 1 PRINTF(   257 :  829306272): msg=0x12015340,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9D01031C,mcycle=,827676451
PFI 1 PRINTF(   257 :  829308383): msg=0x032CB220,dir_q=,0x02,GET   ,type= ,2, size0=0, SLot_SFN = ,0x2E10031B,mcycle=,825206063
PFI 1 PRINTF(   257 :  829309111): msg=0x032C3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x2D11031B,mcycle=,825636338
PFI 1 PRINTF(   257 :  829309809): msg=0x032BB220,dir_q=,0x02,GET   ,type= ,2, size0=0, SLot_SFN = ,0x2F11031B,mcycle=,825724812
PFI 1 PRINTF(   257 :  829310537): msg=0x032CB220,dir_q=,0x02,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x2E12031B,mcycle=,826135573
PFI 1 PRINTF(   257 :  829311234): msg=0x032D3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3012031B,mcycle=,826271580
PFI 1 PRINTF(   257 :  829311961): msg=0x032BB220,dir_q=,0x02,FREE  ,type= ,2, size0=0, SLot_SFN = ,0x2F13031B,mcycle=,826635548
PFI 1 PRINTF(   257 :  829312660): msg=0x032C3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3113031B,mcycle=,826767753
PFI 1 PRINTF(   257 :  829313390): msg=0x032D3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3000031C,mcycle=,827136778
PFI 1 PRINTF(   257 :  829314088): msg=0x032CB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3200031C,mcycle=,827227584
PFI 1 PRINTF(   257 :  829314816): msg=0x032C3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3101031C,mcycle=,827636211
PFI 1 PRINTF(   257 :  829349895): msg=0x032BB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3301031C,mcycle=,827745788
PFI 1 PRINTF(   257 :  829350596): msg=0x032CB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3202031C,mcycle=,828136206
PFI 1 PRINTF(   257 :  829351298): msg=0x032D3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3403031C,mcycle=,828702432
PFI 1 PRINTF(   257 :  829352000): msg=0x032D3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3303031C,mcycle=,828711411
PFI 1 PRINTF(   257 :  829352698): msg=0x032C3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3503031C,mcycle=,828715980
PFI 1 PRINTF(   257 :  829353395): msg=0x032BB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3404031C,mcycle=,829135540
PFI 1 PRINTF(   257 :  829355453): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE40E031B,mcycle=,824137540
PFI 1 PRINTF(   257 :  829356182): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE50E031B,mcycle=,824152394
PFI 1 PRINTF(   257 :  829356880): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE50F031B,mcycle=,824636746
PFI 1 PRINTF(   257 :  829357607): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE60F031B,mcycle=,824652259
PFI 1 PRINTF(   257 :  829358304): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE610031B,mcycle=,825136781
PFI 1 PRINTF(   257 :  829359031): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE710031B,mcycle=,825151930
PFI 1 PRINTF(   257 :  829359729): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE711031B,mcycle=,825637158
PFI 1 PRINTF(   257 :  829360459): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE813031B,mcycle=,826651167
PFI 1 PRINTF(   257 :  829396600): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE800031C,mcycle=,827137565
PFI 1 PRINTF(   257 :  829397328): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xE900031C,mcycle=,827153198
PFI 1 PRINTF(   257 :  829398025): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xE901031C,mcycle=,827637078
PFI 1 PRINTF(   257 :  829398722): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xEA01031C,mcycle=,827652610
PFI 1 PRINTF(   257 :  829399419): msg=0x12C02020,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xEA02031C,mcycle=,828137046
PFI 1 PRINTF(   257 :  829400118): msg=0x12C29420,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xEB02031C,mcycle=,828151898
PFI 1 PRINTF(   257 :  829400815): msg=0x12C29420,dir_q=,0x01,FREE  ,type= ,0, size0=0, SLot_SFN = ,0xEB03031C,mcycle=,828635866
PFI 1 PRINTF(   257 :  829401512): msg=0x12C02020,dir_q=,0x01,GET   ,type= ,0, size0=0, SLot_SFN = ,0xEC04031C,mcycle=,829150653
