PFI 12 PRINTF(   257 :  829264026): msg=0x1203CB80,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x970B031A,mcycle=,812675803
PFI 12 PRINTF(   257 :  829264753): msg=0x12001720,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9811031A,mcycle=,815658542
PFI 12 PRINTF(   257 :  829265450): msg=0x12015340,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9912031A,mcycle=,816156892
PFI 12 PRINTF(   257 :  829266177): msg=0x12001720,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9800031B,mcycle=,817175759
PFI 12 PRINTF(   257 :  829266874): msg=0x12015340,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9901031B,mcycle=,817676208
PFI 12 PRINTF(   257 :  829267601): msg=0x12028F60,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9A07031B,mcycle=,820658794
PFI 12 PRINTF(   257 :  829268298): msg=0x1203CB80,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9B08031B,mcycle=,821157458
PFI 12 PRINTF(   257 :  829269025): msg=0x12028F60,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9A0A031B,mcycle=,822175341
PFI 12 PRINTF(   257 :  829304251): msg=0x1203CB80,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9B0B031B,mcycle=,822675755
PFI 12 PRINTF(   257 :  829304978): msg=0x12001720,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9C11031B,mcycle=,825659032
PFI 12 PRINTF(   257 :  829305675): msg=0x12015340,dir_q=,0x11,ALLOC ,type= ,0, size0=0, SLot_SFN = ,0x9D12031B,mcycle=,826156850
PFI 12 PRINTF(   257 :  829306372): msg=0x12001720,dir_q=,0x11,PUT   ,type= ,0, size0=0, SLot_SFN = ,0x9C00031C,mcycle=,827177062
PFI 12 PRINTF(   257 :  829308473): msg=0x032C3220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3101031C,mcycle=,827636211
PFI 12 PRINTF(   257 :  829309170): msg=0x032BB220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x3301031C,mcycle=,827745788
PFI 12 PRINTF(   257 :  829309897): msg=0x032CB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3202031C,mcycle=,828136206
PFI 12 PRINTF(   257 :  829310594): msg=0x032D3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x2C0E031B,mcycle=,824215620
PFI 12 PRINTF(   257 :  829311321): msg=0x032BB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x2B0F031B,mcycle=,824635961
PFI 12 PRINTF(   257 :  829312018): msg=0x032C3220,dir_q=,0x02,GET   ,type= ,1, size0=0, SLot_SFN = ,0x2D0F031B,mcycle=,824707179
PFI 12 PRINTF(   257 :  829312745): msg=0x032BB220,dir_q=,0x02,FREE  ,type= ,1, size0=0, SLot_SFN = ,0x3404031C,mcycle=,829135540
